Sentimen,Teks
-1,"Biusnya habis ! RT""@eddies_song: Dahlan Iskan semakin gak jls @despar54: Capres Dahlan Iskan @Lili_Wilson @Re_bonjav @yusdiusman @sakezya99"""
1,"Presiden Prabowo ,Presiden Terakhir Indonesia"
-1,"@republikaonline masa capres prabowo bergitu bodoh sampai ngecap uang ? ngak mungkinlah.gawat klo bener, berarti ngak ngerti hukum"
1,"Kalo kata bapak capres ARB, kita harus ""berani berfikir, berani bermimpi, dan berani bertindak"" ITU!!!"
-1,"RT @DhafaRizky_: Najis,org gila doang yg dukung @farhatabbaslaw jdi presiden!Jokowi lbih baik"
-1,#TuitJakarta Rakernas PAN Tidak Bahas Pencalonan Presiden Hatta Rajasa #Jakarta #Tuit
1,"Nyata,anaknya aja cantik :) ""@ekapsss: Capres Wiranto kayaknya pas muda ganteng ya ngga sih?"""
-1,"@_Derita_Rakyat @IniBang_Is Hehe,waktu masih Kolonel,Pramono Edhie Ajudan Presiden Megawati tuuh,lupa neh doi"
-1,"RT @PROREPUBLIK: Gak sirik, tp aneh,pigur Capres Wiranto-HT ngurusi non kebangsaan ""@syakilaayana: @maman991 @wiranto1947 ente sirik pasti ..."
1,"RT @andrewmuntu: 2014, kalau bapak maju capres ""@jokowi_do2: Teruslah...sampai suatu saat tiba, sekali waktu, entah kapan...pasti datang ke "
1,"RT @RintisBautista: capres jokowi,wacapres abraham samad. gubernur ahok. gua yakin koruptor abissss !"
1,"amin semoga kesampaian dan dukung trus ya buat pak Mahfud MD @YanuarWiratmaja: "" Presiden Mahfud Mahmodin , ..Amin @mohmahfudmd"
1,"Support sepenuhnya jadi Presiden""@jokowi_do2: Pemimpin harusnya menderita...bukan menikmati."""
-1,"RT @ediroberto1: Bukan dari PKB.Imin sdh pilih Rhoma Irama utk capres.Mahfud MD dibuang PKB,""@WoolseyChinnpzv: Siap Nyapres, Mahfud Mulai K..."
1,"RT @okingokong94: Indonesia maju kalau, Presiden : Dahlan Iskan,Wakil Presiden : Jokowi,Penasehat Kepresidenan : Farhat Abbas"
-1,"Jika. Janji. Nggak layak dipercaya. ""@temponewsroom: Nasional - Jika Jadi Presiden, Prabowo Janji Tambah Anggaran KPK"""
-1,Ruhut TimSes Edi Pramono Yakin Unggul Atas Capres Jokowi @AtapMiring @GalihKusuma @MandryGary  @bangadlin @LellyKustiandi @danieelst
1,RT @andiistiabudi: @IstanaRakyat Salah satu mantan anggota PASKIBRAKA tahun 1960-an adalah mantan Presiden Megawati Soekarnoputeri  #Kebang
1,Hanura: Capres Wiranto Yakin Kalahkan Jokowi kami rajin blusukan ke Kampung2 @KodratArief @Agus_Lamarauna @haman_1 @hen_p_astoro @m_khariri
1,Presiden Joko Widodo & Wakilnya Tri Rismaharini. #KaliAja
1,Agenda 2014 presiden mahfud: 1.tegakan hukum.2hukum gantung penegak hukum hitam.3.nasionalisasi SDA @agejooss @Mention_Mahfud @mohmahfudmd
1,RT @Amirudin_Alatas: @MahfudMD_Info @kompascom  saya dukung mahfud jd presiden jk wakilnya. Insya allah makmur
1,"bila PDIP deklarasi capres Jokowi sblm pileg, suka tdk suka musti pilih PDIP untuk pileg DPR @Him_NK @GA17B @despar54 @herilatief @GimanaBro"
-1,"Charta Politika: Ical cuma ""underdog"" tak mampu kalahkan capres Prabowo JokoWi @krasn4y4 @masbedjo @eddies_song @Anti_Jilat @irwanjuanda1"
1,@AisyaSuherman_ tong di pilih jadi presiden ARB na
-1,"[koswara] Emak pasti gak rela RT ""@ LatiefSiregar: SP kelaut mas? :D RT @ Rachmayanto: skemanya bisa begini: Capres Prabowo cawapresnya..."
1,24/09/2013 21:42 Sosok Gubernur Jokowi dan Mantan Wakil Presiden Jusuf Kalla dinyatakan sebagai 2 tokoh terpopuler dalam perbincangan...
1,Dukungan Capres Wiranto-Harry Tanu.
1,#Todayshistory 20 Agustus 2003. tahap pembangunan awal jembatan suramadu diresmikan oleh mantan presiden Megawati Soekarno Putri.
1,"RT @wilman_willy: Support sepenuhnya jadi Presiden""@jokowi_do2: Pemimpin harusnya menderita...bukan menikmati."""
-1,om @farhatabbaslaw gk ada niatan bwt ke banyuwangi gt ??? Capres ARB uda ke bwi lhoo . Masakkk om belom :D
-1,#TuitIndonesia Rakernas PAN Tidak Bahas Pencalonan Presiden Hatta Rajasa #Indonesia #Tuit
-1,RT @bimaanggara18: @JokowiCentre Hah? Gak malukah Golkar bikin pernyataan itu? Bahkan ical tidak pantas jadi cawapres mendapingi capres Jok...
-1,"""@tsetiady: bahaya tan malakaism itu apa-apa mau dinasionalisasi tak ada perusahaan swasta/publik, jadi ingat program capres prabowo nih..."""
-1,"RT @dalgonyes: GOLKAR ! Daripada ribt dan ribet terus soal capres ARB ayo bikin konvensi terbuka,berani?kalau berani itu baru partainya rak..."
-1,@Fakhmuda bagus banget.. Masalahnya PDI P mau ngga kursi wakil buat pak Anis.. Kursi capres Jokowi aja belum dapet ijin dr bu Mega.. Hehehe
1,"RT @blijunk: Dear rekan radiografer Berdoalah berita PDI-P memutuskan pasangan presiden Jokowi   Rieke benar adanya, TBR pasti jadi kenyata"
1,"RT @dahlanis_gresik: Rt @anabafifi: Hsl pencarian Google diantara para tokoh #capres, dahlan iskan tempati angka tertinggi (4.6 jt) @iskan_..."
1,: ORANG CERDAS ADALAH ORANG YANG MAMPU MELAKUKAN KOMUNIKASI DENGAN TOKOH2 BESAR GERINDRA MENANG PRABOWO PRESIDEN PRABOWO PRESIDEN IND...
1,: ORANG CERDAS ADALAH ORANG YANG MAMPU MELAKUKAN KOMUNIKASI DENGAN TOKOH2 BESAR GERINDRA MENANG PRABOWO PRESIDEN PRABOWO PRESIDEN IND...
-1,"RT @iwanfebri011: Capres Jokowi terganjal bus bekas, jika terbukti terlibat, habis deh. #busbekas @Fahrihamzah"
1,"RT @yunartowijaya: Woiii.. :p RT @provokatrok: kl gt presiden jokowi, wapres jokowi, menteri jokowi, gub jokowi, semua aja jokowi. Blm jg b "
-1,"Ga mungkin lu aja bego!!!! ""@farhatabbaslaw: Org bego ga usah pilih gue jd presiden, jk gue jd presiden,pr org bego gue jadiin pinter semua!"
-1,"Charta Politika: Ical cuma ""underdog"" tak mampu kalahkan capres Prabowo JokoWi @Alex4_110 @Mbi_Lung @hen_p_astoro @murnisaroso @Khoiri_yay45"
1,RT @Ochiochio47: Gue menunggu saat dimana Jokowi jadi presiden. Jokowi punya kharisma.
-1,"RT @danuwijaya1982: Jokowi cocoknya sama HT, pas jd presiden, jokowi ditarik di PBB, jd lengkap, gubernur jakata kristen, presidennya krist..."
1,"RT @arsyad_amran: @MS_9910  yg layak sbg capres @jokowi_do2   kompetiter yg layak bertanding @mohmahfudmd & @Yusrilihza_Mhd, mrk smua InsyA..."
1,"RT @oktariands: Jokowi nyapres 2014 OK, tp klo 2019 Hebat. Klo utk 2014 ini bgsny, Mahfud MD Capres, Dahlan Iskan Cawapres. #Pilpres2014"
-1,"Ruhut menteri kampungan, asseek! @Ricky_Nov1978: Jokowi presiden, prabowo wapres, ahok gub dki, sby ketua mpr, mega ketua dpr,"""
-1,@PartaiSocmed FUI kemaren demo tolak Miss World tp poster yg dibawa Pasangan capres Wiranto-Tanoe. #lha #begimana
-1,"Kerenan Ahok jadi Capres. Jokowi pegang Jkt. ""@Herrreza: Apakah saudara2 semua benar2 menginginkan Jokowi maju jadi calon presiden? #survey"""
-1,"RT @TrioMacan2000: Ada yg waras di PDIP @S05sinawang: Guruh masih berfikir jernih""@rezkykamal7: Guruh Sukarno: Blm Waktunya Presiden, Jokow..."
-1,Tugas Ramadan Pohon Bunuh Karakter Capres Jokowi @parasiit @bert_ @bert_dave @meriana0509 @semiaji_w @wahyudi_sudibya @dir1ku
-1,Calon presiden ARB??? Hellow @tvOneNews emang calon2 presiden yg bakal kita pilih udah ditentukan??? ??L??  kaaaaaannn???
1,@Gerindra Bp. Capres Prabowo akan memiliki sbuah ENERGI jika dimungkinkan berpasangan dngan Bp. Jokowi d Pilpres 2014. Saya sangat mndukung!
1,"Capres @jokowi_do2 & Cawapres @aniesbaswedan , 1x putaran, 90% DPT milih anda. Yakin deh"
-1,"2013PAN membuka kemungkinan evaluasi pencapresan Ketua Umumnya, Hatta Radjasa. Jika tidak menjadi capres, Hatta..."
-1,"RT @p_pinang: 2013PAN membuka kemungkinan evaluasi pencapresan Ketua Umumnya, Hatta Radjasa. Jika tidak menjadi capres, Hatta bisa menjadi ..."
-1,Mantap ihh capres wiranto nyamar jadi tukang becak ~ heu ^^
-1,"RT @despar54: Charta Politika: Ical cuma ""underdog"" tak akan mampu bersaing dengan capres Prabowo JokoWi @kalamanaya @HelmiHelmimoze @po_he..."
1,"RT @davidridwanbetz: Capres prabowo subianto juga aktif dan kreatif beliau disosial media ""harus didukunglah oleh kader2nya biar laju ""para..."
-1,Emang negara kita masih di pimpin presiden megawati gituh... :p RT @non_izma :harga minyang gorengnya moneter :D
-1,"RT @TrioMacan2000: Ada yg waras di PDIP @S05sinawang: Guruh masih berfikir jernih""@rezkykamal7: Guruh Sukarno: Blm Waktunya Presiden, Jokow..."
1,"RT @PROREPUBLIK: Hrsnya PDIP capreskan ybs ""@despar54: 10 Lembg Survey: Capres Jokowi Suara 60%! 11 Capres Konvensi PD dibawah 2% @andesh_  "
-1,"Ahok presiden, Jokowi beresin Jakarta dulu deh!"
