Sentimen,Teks
1,"Akhirnya bisa instal app DANA. Kemaren2 search di playstore malah gak nemu. Klik link dari situsnya, malah ada notif ""your phone is not supported"". Padahal instal apk ungu sebelah bisa. Goks. Good job tim DANA"
-1,"Katanya dapet cashback 100%, tp berkali2 ga dapet sm skali, ud telpon n email berkali2, responny disuruh jd member premium (padahal ga ada syarat bgt) n malah bilang bakal slow respon, tau gt mending pake ovo ato gopay biar dapet cashback, app penipu, payah"
-1,"Admin, kenapa sekarang hadiah yg tertera tidak bisa saya dapat. Mulai cashback pembelian diatas 50.000 katanya bisa main spin and win ternyata gak bisa. Useless....SARAN SAYA LEBIH BAIK PAKE DIGITAL PAYMENT YANG LAINNYA. YANG JELAS2 MEMBERIKAN BUKTI NYATA. BUKAN PHP. SUDAH E-MAIL MALAH RIBET BANGET....Full Review"
-1,Saya mau cairkan cashback ga bisa gara2 foto KTP dibilang jelek kualitasnya. Yang bener aja.. Saya ambil foto pake i-phone XS & foto di KTP saya emang udah burem krn kualitas bahan KTP di indonesia yg jelek gara2 dana E-KTP dikorupsi Papa Setnov. Tp data di KTP saya valid
-1,Aplikasi burukk.. Promo cashback 100% dengan maks 3x transaksi. Tetapi pada transaksi pertama membayar penuh tanpa cashback dari dana sesuai yang ditawarkan !! CP tidak dapat dihubungi dan email tidak di respon!!! Very bad application
-1,Tidak mendapatkan cashback seperti yang dipromokan padahal baru pertama kali coba promonya. Sudah kirim notifikasi untuk difollow up tapi tidak ada feedback. Bad service.
-1,"Ikut promo di dana itu seperti main judi. Kalo beruntung, bisa dapet. Kalo ga beruntung, bisa gagal dapet promo (diskon/cashback/voucher) tanpa diberitahu apa kesalahan kita. Terdapat syarat promo yang ga tercantum dengan jelas. Hubungin DANA customer care buat keluhan lewat call , email & aplikasi ...Full Review"
-1,"NGIBUL, GA DAPET CASHBACK Udah ngantri panjang di gulu gulu gading, bayar pake dana cashbacknya ga dapet Udah lapor via email, disuruh kirim nama, nomor hape, jumlah transaksi, screenshot, udah dikirim semua, malah ngilang ga ada kabar sampe sekarang PAYAAAHHHHHH ??????????????"
-1,Transaksi terkadang error dan merugikan. Di minta hubungi ke customer care? Really? Saya di php dan tidak ada solusi!
-1,"Kecewa sama dana. Ada 2 tawaran cashback yang harusnya kudapat(ditraktir dana+cashback yg ada di kedai) tapi nggak ada sama sekali. FYI, aku udh menuhin syarat2 yg ada. Aku coba contac customer service 3 kali pun gk ada jawaban pasti. Padahal ini pertama kali nya aku coba pakai dana. Kecewa dan gak ...Full Review"
-1,"Aplikasi buruk, tidak dpt cashback seperti yg dijanjikan. Nanya cs alasannya krn akun tdk upgrade premium, pdhl akun teman sy tidak premium juga dpt. Di syarat dan ketentuan saat itu jg tdk disebutkan bahwa hanya pengguna premium yg dpt cashback. Sorry sy kapok pakai Dana. Not recommended"
-1,1.) Promo Quest sudah clear semua tapi setiap mau claim voucer error terus. 2.) Promo cashback 100% tapi setelah melakukan transaksi malah tidak mendapatkan cashback 3.) Promo 50% bayar listrik juga tidak mendapatkan voucer 50% untuk pembayaran berikutnya Sudah contact cs by email tapi ga ada solusi...Full Review
-1,"Kesel saya. Mau verification account aja ngga bisa terus gara2 poor quality photo ID. Masa kamera 16MP dibilang poor quality terus??? Yg bener appnya yg bikin cameranya blurry, saya udah coba di iPhone, di Android tetap ngga bisa karena kamera saya dibilang poor quality. Gimana sih? Niat gak sih? Te...Full Review"
-1,Maaf ya.. Rate ane kurangi 3* Karena udah 2 kali 50rb beli token listrik ga dapat diskon 50% nya. Why? Sudah mulai inconsistent dengan info yg diberikan kah? Infonya kan ada discount 50%.
-1,saya kecewa..tolong diperhatikan lagi..kayaknya aplikasinya error..saya sama suami transaksi di 2 merchant malah kesedot semua dananya..ga ada cashback 100%.. saya udah telepon customer service nya juga.. Mohon penjelasannya..terima kasih
-1,Cashback dr dcrepes sama fore ga ada uda lebih dr 2 hari. CS ga ada yg bener. Mnta nomor sudah DM dr IG tapi ga ada feedback. BAD
-1,Voucher ga bisa dipake...mau telp help center ternyata no premium....plz Voucher nya jg dikit ga sebanding biaya telp help center Tlg ya..aplikasi kek beginian...sdh baru Tp ribet kl butuh pertolangan yg cepat Kl blom siap jgn di buat Kalo email...berarti bukan fast response Org butuh...nunggu lg......Full Review
-1,"Ga bisa login gara2 update baru, mau login diminta kode otp dari nomor lama yg udah ilang, pin dn akun masih punya, tp gmna mau gnti nmor hp di app kl login aja g bsa, ada pilihan lost number tapi error mlu ga guna, kirim keluhan lewat email malah otomatis reply mau reset pin dalam 1 smpe 2 jam dan ...Full Review"
-1,"Saya sangat kecewa dan tidak rekomendasi aplikasi ini. Pengalaman buruk sudah 2x, yaitu promo cashback 100persen tp cashback tidak pernah masuk sampai detik ini. Saya sangat kecewa karena call center tidak dapat dihubungi.. hal tersebut menyebabkan uang pulsa dan tenaga sia sia."
-1,Voucher saya sama sekali tidak bisa dipakai dan promo cashback 100% tidak kembali cashnya. Saya sudah email ke pihak dana dan dibilang satu device hanya berlaku satu akun. Padahal sudah sesuai bahwa saya hanya login di device saya saja. Jadi kecewa karena semua s&k sudah saya ikuti dan ujung2nya ga ...Full Review
-1,"Promonya gak bisa dipakai. Dikomplain malah dipingpong buang2 pulsa ujung2nya gak dibalikin. Nyesel daftar premium, nyesel semangat2 ikut promo dan ngmg ke tmn2. Nextnya temen2 hrs tau. Promonya bohong. Ada yg hoki dpt, tp byk yg kena tipu kyk saya"
-1,"Mau upload KTP selalu ""Poor image quality"". Lah gmn emang KTP nya burem. Trus duit mau di withdraw gmn ini? Menyebalkan !!"
-1,"Bad service. Saya transaksi tidak dapat cashback, saat ditanyakan info nya saya harus upgrade jadi premium. Padahal saat promo , transaksi member reguler pun dapat cashback.. Segitunya pengen org upgrade premium.. Butuh bgt ya data customer?? Ckckck.. Niat apa kaga kasih cashback? Kemudian saat coba...Full Review"
-1,"Customer service nya sangat tidak kompeten pelayanannya , promo quest voucher 35k terbuang karna user interface pemakaian promonya yg kurang friendly ."
-1,"Beli token listrik krn udh bunyi, nunggu berjam2 g berhasil padahal uangnya udh di tf via VA. Pas complain minta cancel seenak jidatnya blg g bisa dan gmw balikin duit via tf lagi sedangkan gw udh beli token listrik ditempat lain krn urgent.!! Dan mereka tetep kekeh buat proses tuh token biar dapet ...Full Review"
1,"Dompet digital indonesia skarang yang satu""nya bisa nyimpan kartu dan top up ga ribet, "
-1,Saya sekarang berhenti membeli segala produk yg terjual di dana seperti pulsa. Karena terakhir saya beli di dana pulsa tak kunjung masuk dan uang hilang tanpa di balikin ke saya. Kecewa sih....
-1,"Sikap cs yg gak tau posisi nya. Sistem di DANA yg tidak BECUS kok pelanggan yg nanggung akibatnya. Balikkan dana pelanggan. Jangan karena uang puluhan ribu, efek buruknya akan parah ke depan"
-1,Kecewa hari ini bayar KFC mestinya dapat cashback 25 rb tapi ga dapat trus komplain via telp susah banget masuknya via pesan di aplikasi ga tau responnya kapan
1,"Untuk di game games, boleh lah ditambaahi pokemon go...karena komunitas pemain pokemon go yang masih cukup besar dan banyak event yg ada di permainan pokemon go jadi supaya lebih mudah dalam melakukan top up. ???? Sementara ini sudah cukup puas dengan aplikasi dana dan promo promo yang diberikan..se...Full Review"
-1,"Pelayanan CS via call dan email SANGAT BURUK. CS jawabnnya asal-asalkan tidak dicek ke T&C promo yang ada di app. Di lempar sana sini, SLA 7 Hari kerja dan disuruh kirim email dan bukti bayar tapi masih diminta lagi, setelah dikasih tidak direspon."
-1,Berkali-kali nyoba buat nambah kartu kredit/debit tapi tetep failed/gagal menambah kartu. Tolong diperbaiki
-1,*Sulit sekali hub-i Call Center.Lbh dr 7 hari ga bs dicontact. *Suka menjebak customer dg promo2 menarik tapi kata2nya dibuat terbelit2 shg menyesatkn customer. *Pnh dpt resto yg 30% cashback. Tp stlh byr sm skli ga dpt cashbacknya. *Saldo akhir jg ga pnh diinfokn di history. *Dpt token pun dimainkn...Full Review
-1,"Awas hati2 tidak semua dpt promo cashback 100% maks 35rb.. kmrn transaksi tidak mendapatkan cashback, malah disuruh upgrade ke Akun premium.. salah satu cara DANA mengumpulkan data diri pelanggan.."
-1,"dari pertama x ada fiture lucky spin.. dapetnya zonk mulu!!! tipu""!! delete aja itu fiture woi admin!!! ga guna itu buat g lama"" liatnya. lu ga delete, g detele ini aplikasi nanti. skrg tgl 3-9-2019. sy minta link untuk update apps ini, agar di hapus fiture tsb. maksimal sampai tgl 10-9-2019. no res...Full Review"
-1,"Baru aja mau daftar dah problem aja, mana kode otp saya, pulsa saya 10ribu masa kode otp gak kekirim"
-1,"Error mulu, mau transver ga bisa"".. kalo udh nyemplung ga bisa di tarik lagi. Payahhh"
-1,sayang promo cashback saya udah 3x kejadian tdk dapat cashbacknya. Pdahal sudah memenuhi syarat ketentuan cashback. Saya sdh file complain tgl tunggu aja brp lama??
-1,Beli pulsa cepek dapet voucher cashback 100% gaesss.. tapi maksimum limit nya ceban.. wkwkwkwkwkw.. dlu bisa sampe 50k cashback nya padahal 50% voucher nya.. wkwkwkwkwkwk. Atau karena gw pengguna lama dana ya jadi kurang di perhatikan..
-1,"Cashback 100% 35k nya ga masuk, padahal sudah sesuai ketentuan.. udah cek ulang di merchant, katanya kesalahan ada di sistem DANA nya. Kecewa ga bisa maksimalin promo cashbacknya"
-1,"Penempatan tombol yg kurang pas, atau bisa diakali dg menambah konfirmasi terakhir berupa pin saat pembelian pulsa. Sering banget kepencet, padahal ga niat beli.. :("
-1,"Ternyata cash back 50% dan 100% yg dijanjikan seperti promo tdk saya dapatkan. walaupun sdh sesuai aturan yg ditentukan. Sudah report ke customer service melalui email, dan permintaannya berbelit2 dan tetap aja tidak ada penyelesaiannya. Malah akhirnya tidak ada response lagi dari kendala yang saya ...Full Review"
-1,"Ada promo cashback 35k, pas dipake, gak bisa. Telfon customer service dan email susah sekali dan lama di respond. Pas tersambung sama customer service, katanya sistem memilih secara random saya harus upgrade premium. Wow, maksa sekali. Proses komplain lama, biaya pulsa yang habis sudah lebih dari ca...Full Review"
-1,"Gw termasuk orang yg awal pake nih app dan yg paling gw benci gak ada verifikasi minta pin buat pembayaran buat Bukalapak dan yg lain, ntar keluar verifikasi pin kalo lagi tranfer uang aja. Gw harap ada update masalah ini????. Gw berkali-kali salah pencet malah kebeli kan asu"
-1,Dana bilang account saya di access dari hp lain. Tetapi saya tidak ada access account saya dari hp lain. Sudah complain tetapi di bilang system menyatakan begitu. Saya minta bukti saya ada access dari hp lain kata nya tidak bisa kasih bukti. Dari awal tahun pakai dana semua berjalan lancar. Bulan 7 ...Full Review
-1,Tapi kalo forgot password ngurusnya ribet setengah mati sama ngabisin pulsa cs nya nanya banyak bener-_-
-1,Tidak dapat promo cashback 100%. Padahal sudah sesuai ketentuan. Sudah komplain ke twitter dan email masih belum ada kelanjutan
1,"Pembayaran selalu lancar, ga pernah error. Good job!"
-1,"Banyak bat masalah, 1. Promo yang ga begitu jelas keteranganya, 2. Voucher potongan yang ""HARUS""nya bisa dipakai malah ga muncul di menu pembayaran. ( Pulsa,dkk ) 3. Costumer service yang ujung ujungnya nyuruh email DANA tanpa penyelesaian. 4. Pemrosesan masalah yang MUNGKIN tidak ada ""REFUND"" padah...Full Review"
-1,Cuman saya punya 5x kesempatan spin. Kan gak masuk akal 5x putar ke 5nya Zonk. Apakah ini sebagai modus apa gmana ya?
-1,"Kecewa menggunakan dana, saya menggunakan pembayaran dengan dana karena ada Promo Cash Back dan sudah saya gunakan sesuai syarat dan ketentuan, tapi cash back tidak diberikan."
-1,"Cacad, buat bayar booking Mtix otp ga dapet dapet sms sampe lewat jam film-nya, pulsa ada lah.. gini mau bersaing sama 0V0"
-1,"WORST SERVICE DARI CS NYA, PROMO NYA JUGA TNC NYA GA JELAS, JAWABAN CS JUGA MENGADA2 DAN NGELES TIDAK VALID!!!"
-1,"Sangat mengecewakan, promo cashback tidak aktif, akun yang sudah premium kembali menjadi tidak premium dan customer service yang late respond... semoga kedepannya lebih baik lagi"
